"read_counts","cepa","library"
232467,"NZ_OW370537.1","SRR12893571"
79679,"NZ_OW370567.1","SRR12893571"
155,"NC_010981.1","SRR12893572"
121,"NC_018267.1","SRR12893572"
134,"NZ_AP013028.1","SRR12893572"
145,"NZ_CP015510.2","SRR12893572"
157,"NZ_CP021120.1","SRR12893572"
1189,"NZ_CP031221.1","SRR12893572"
144,"NZ_CP034333.1","SRR12893572"
144,"NZ_CP034334.1","SRR12893572"
144,"NZ_CP034335.1","SRR12893572"
221,"NZ_CP037426.1","SRR12893572"
219,"NZ_CP041215.1","SRR12893572"
2094,"NZ_CP041923.1","SRR12893572"
2022,"NZ_CP041924.1","SRR12893572"
244,"NZ_CP042444.1","SRR12893572"
244,"NZ_CP042445.1","SRR12893572"
244,"NZ_CP042446.1","SRR12893572"
220,"NZ_CP042904.1","SRR12893572"
109,"NZ_CP046577.1","SRR12893572"
143,"NZ_CP046578.1","SRR12893572"
114,"NZ_CP046579.1","SRR12893572"
532,"NZ_CP046580.1","SRR12893572"
244,"NZ_CP046921.1","SRR12893572"
244,"NZ_CP046922.1","SRR12893572"
244,"NZ_CP046923.1","SRR12893572"
244,"NZ_CP046924.1","SRR12893572"
244,"NZ_CP046925.1","SRR12893572"
277,"NZ_CP048818.1","SRR12893572"
272,"NZ_CP048819.1","SRR12893572"
269,"NZ_CP048820.1","SRR12893572"
138,"NZ_CP050521.1","SRR12893572"
205,"NZ_CP051156.1","SRR12893572"
136,"NZ_CP051157.1","SRR12893572"
280,"NZ_CP051264.2","SRR12893572"
280,"NZ_CP051265.2","SRR12893572"
263,"NZ_CP051266.2","SRR12893572"
282,"NZ_CP051608.1","SRR12893572"
243,"NZ_CP054557.1","SRR12893572"
147,"NZ_CP067976.1","SRR12893572"
245,"NZ_CP069052.1","SRR12893572"
245,"NZ_CP069053.1","SRR12893572"
144,"NZ_CP069054.1","SRR12893572"
243,"NZ_CP069055.1","SRR12893572"
245,"NZ_CP069060.1","SRR12893572"
258,"NZ_CP072012.1","SRR12893572"
244,"NZ_CP072666.1","SRR12893572"
244,"NZ_CP072667.1","SRR12893572"
244,"NZ_CP072668.1","SRR12893572"
244,"NZ_CP072669.1","SRR12893572"
244,"NZ_CP072670.1","SRR12893572"
244,"NZ_CP072671.1","SRR12893572"
244,"NZ_CP072672.1","SRR12893572"
284,"NZ_CP076228.1","SRR12893572"
1189,"NZ_CP080546.1","SRR12893572"
141,"NZ_CP084693.1","SRR12893572"
151,"NZ_CP084694.1","SRR12893572"
166,"NZ_CP087954.1","SRR12893572"
244,"NZ_CP090948.1","SRR12893572"
230,"NZ_CP091195.1","SRR12893572"
179,"NZ_CP092368.1","SRR12893572"
159,"NZ_CP092526.1","SRR12893572"
150,"NZ_CP096925.1","SRR12893572"
150,"NZ_CP096926.1","SRR12893572"
142,"NZ_CP101657.1","SRR12893572"
574,"NZ_CP110359.1","SRR12893572"
122,"NZ_HG810405.1","SRR12893572"
331,"NZ_OW370537.1","SRR12893572"
269,"NZ_OW370567.1","SRR12893572"
296,"NC_010981.1","SRR12893573"
301,"NC_018267.1","SRR12893573"
283,"NZ_AP013028.1","SRR12893573"
323,"NZ_CP015510.2","SRR12893573"
289,"NZ_CP021120.1","SRR12893573"
361,"NZ_CP031221.1","SRR12893573"
305,"NZ_CP034333.1","SRR12893573"
290,"NZ_CP034334.1","SRR12893573"
290,"NZ_CP034335.1","SRR12893573"
429,"NZ_CP037426.1","SRR12893573"
